#{"t_start": 1655408526.9748297, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-139.453097,1876,961.659337
-88.870611,263,961.936754
-90.780216,290,962.236668
-68.527534,2000,965.407102
-64.068073,2000,968.795805
-75.657209,938,969.839304
-93.965549,333,970.220486
-116.24781,66,970.300896
-93.319928,352,971.904649
-45.338639,2000,975.387093
-110.287556,1202,976.652077
-96.341881,267,976.926792
-132.233187,1202,979.272298
-104.459896,474,979.761558
-68.388031,2000,983.098579
-57.565065,2000,986.478172
-44.419249,2000,989.837098
-77.517027,438,990.286362
-86.815719,186,990.481935
-120.259881,873,992.467247
-94.099359,177,992.65023
-87.212072,199,992.863568
-93.426553,136,993.008194
-90.181836,263,993.286546
-92.693335,197,993.486996
-81.179524,661,995.278105
-99.367365,324,995.613357
-84.918266,144,995.769637
-73.057757,496,996.29251
-85.232577,142,996.444381
-116.020677,65,996.515905
-101.862497,413,996.954321
-87.224358,193,997.165203
-39.01646,2000,1000.332097
-75.079714,2000,1003.662774
-89.56425,1336,1006.215908
-87.322199,214,1006.439853
-98.74155,248,1006.703158
-86.618446,173,1006.894153
-70.281426,2000,1010.150532
-80.139697,1104,1012.397276
-94.046526,182,1012.586683
-69.439698,2000,1015.835176
-65.774182,2000,1019.281302
-3.291549,2000,1022.896752
-92.59938,327,1023.236593
-27.517438,2000,1026.586896
-89.075866,224,1026.842772
-66.672538,2000,1030.034707
-92.607219,342,1030.395442
-69.044575,2000,1033.751792
-66.543546,2000,1037.165829
-93.416408,376,1037.55436
-93.923481,362,1039.020344
-65.580014,2000,1042.178468
-54.198633,2000,1045.426939
-101.272311,548,1046.020626
-91.759576,328,1046.37023
-47.270896,2000,1049.575634
-13.649165,2000,1052.891113
-92.617373,355,1053.296369
23.806582,2000,1056.67827
-48.439371,2000,1059.882974
-96.836179,517,1060.445558
-9.223321,2000,1063.784332
-105.773626,511,1065.421528
-118.050374,835,1066.291693
-91.651931,301,1066.637671
-153.61857,1814,1069.634864
-88.897614,270,1069.923333
-44.540503,2000,1073.152442
-108.756685,1443,1075.895258
-63.421794,2000,1079.213947
-116.241579,827,1080.186162
-96.771467,137,1080.345631
-47.592129,2000,1083.744925
-62.686686,2000,1087.021931
-48.603198,2000,1090.281884
-93.414609,342,1090.655273
-63.78515,2000,1093.974263
-59.409488,2000,1097.342228
-98.137355,486,1099.043649
-99.536062,536,1099.640086
-44.990351,2000,1103.016721
-96.998376,490,1103.556485
-88.461995,239,1103.822626
-58.780919,2000,1107.186978
9.534887,2000,1110.392757
-59.12151,2000,1113.788097
-128.517425,1143,1116.137014
-42.40225,2000,1119.53688
-95.127233,443,1120.066516
-42.402742,2000,1123.563513
-44.599032,2000,1126.882588
-94.619352,440,1127.364747
-7.331732,2000,1130.820517
-93.039057,350,1131.205448
-115.827668,65,1131.279718
-96.682216,1163,1133.667699
-94.913772,172,1133.854248
-96.52704,432,1134.301524
8.441544,2000,1137.453787
-96.358874,462,1137.9345
-94.746093,394,1138.350867
-59.093347,2000,1141.641138
18.648567,2000,1144.847373
-57.275972,2000,1148.050637
-90.805708,1357,1150.560813
-59.766256,2000,1153.788281
